"filename", "language", "PHP", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\css\admin-style.css", "CSS", 0, 140, 0, 0, 4, 34, 178
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\css\cart.css", "CSS", 0, 147, 0, 0, 4, 20, 171
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\css\checkout.css", "CSS", 0, 276, 0, 0, 10, 63, 349
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\css\datetimepicker.css", "CSS", 0, 89, 0, 0, 0, 14, 103
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\css\postcode-form.css", "CSS", 0, 68, 0, 0, 0, 9, 77
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\css\product-archive.css", "CSS", 0, 150, 0, 0, 0, 9, 159
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\css\product-filters.css", "CSS", 0, 216, 0, 0, 1, 36, 253
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\css\tonnage-calculator.css", "CSS", 0, 246, 0, 0, 0, 39, 285
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\Arrow 3.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\Arrow.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\Group 123.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\Vector 17.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\Vector(6).svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\account.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\close-info-tooltip.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\cross.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\icone-information 1.svg", "XML", 0, 0, 0, 6, 0, 1, 7
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\icone-information.svg", "XML", 0, 0, 0, 6, 0, 1, 7
"c:\Users\Aurelien\Local Sites\kingmateriaux\app\public\wp-content\themes\hello-elementor-child\assets\img\location-pin.svg", "XML", 0, 0, 0, 3, 0, 1, 4
